1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         219.26          ---          ---      5.03500       227.91
Gets         219.25       655.65         2.08      4.07100       684.57
Waits          0.00          ---          ---      0.00000          ---
Totals       438.51       655.65         2.08      4.55300       912.48


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.940         0.01
SET       1.000         0.02
SET       1.100         0.12
SET       1.200         0.83
SET       1.300         2.59
SET       1.400         5.66
SET       1.500         9.43
SET       1.600        13.51
SET       1.700        18.01
SET       1.800        22.44
SET       1.900        27.41
SET       2.000        32.68
SET       2.100        36.90
SET       2.200        40.46
SET       2.300        44.09
SET       2.400        46.91
SET       2.500        49.02
SET       2.600        51.25
SET       2.700        53.21
SET       2.800        54.90
SET       2.900        56.64
SET       3.000        58.20
SET       3.100        59.13
SET       3.200        60.00
SET       3.300        60.71
SET       3.400        61.30
SET       3.500        61.76
SET       3.600        62.24
SET       3.700        62.75
SET       3.800        63.22
SET       3.900        63.70
SET       4.000        64.15
SET       4.100        64.36
SET       4.200        64.59
SET       4.300        64.83
SET       4.400        64.97
SET       4.500        65.19
SET       4.600        65.37
SET       4.700        65.57
SET       4.800        65.67
SET       4.900        65.84
SET       5.000        65.97
SET       5.100        66.17
SET       5.200        66.27
SET       5.300        66.39
SET       5.400        66.46
SET       5.500        66.57
SET       5.600        66.72
SET       5.700        66.81
SET       5.800        66.88
SET       5.900        66.97
SET       6.000        67.06
SET       6.100        67.16
SET       6.200        67.25
SET       6.300        67.35
SET       6.400        67.45
SET       6.500        67.48
SET       6.600        67.54
SET       6.700        67.60
SET       6.800        67.69
SET       6.900        67.79
SET       7.000        67.90
SET       7.100        67.99
SET       7.200        68.08
SET       7.300        68.17
SET       7.400        68.24
SET       7.500        68.36
SET       7.600        68.50
SET       7.700        68.62
SET       7.800        68.73
SET       7.900        68.92
SET       8.000        69.38
SET       8.100        69.85
SET       8.200        70.59
SET       8.300        71.39
SET       8.400        72.46
SET       8.500        73.73
SET       8.600        75.19
SET       8.700        76.70
SET       8.800        78.08
SET       8.900        79.96
SET       9.000        82.11
SET       9.100        83.79
SET       9.200        85.49
SET       9.300        86.71
SET       9.400        87.88
SET       9.500        88.95
SET       9.600        89.91
SET       9.700        90.84
SET       9.800        91.53
SET       9.900        92.32
SET      10.000        95.58
SET      11.000        97.67
SET      12.000        98.38
SET      13.000        98.79
SET      14.000        98.91
SET      15.000        99.05
SET      16.000        99.17
SET      17.000        99.28
SET      18.000        99.36
SET      19.000        99.47
SET      20.000        99.57
SET      21.000        99.60
SET      22.000        99.62
SET      23.000        99.66
SET      24.000        99.67
SET      25.000        99.70
SET      26.000        99.73
SET      27.000        99.74
SET      28.000        99.75
SET      29.000        99.77
SET      30.000        99.78
SET      31.000        99.79
SET      32.000        99.82
SET      33.000        99.84
SET      34.000        99.85
SET      36.000        99.86
SET      37.000        99.86
SET      39.000        99.87
SET      40.000        99.88
SET      41.000        99.89
SET      44.000        99.90
SET      45.000        99.91
SET      66.000        99.92
SET      71.000        99.93
SET      72.000        99.94
SET      74.000        99.95
SET      82.000        99.96
SET      83.000        99.98
SET     300.000        99.98
SET    1800.000       100.00
---
GET       0.560         0.01
GET       0.640         0.02
GET       0.650         0.02
GET       0.660         0.03
GET       0.670         0.05
GET       0.690         0.05
GET       0.700         0.06
GET       0.710         0.07
GET       0.720         0.08
GET       0.730         0.09
GET       0.740         0.11
GET       0.750         0.16
GET       0.760         0.17
GET       0.770         0.21
GET       0.780         0.26
GET       0.790         0.30
GET       0.800         0.36
GET       0.810         0.38
GET       0.820         0.45
GET       0.830         0.49
GET       0.840         0.57
GET       0.850         0.64
GET       0.860         0.75
GET       0.870         0.92
GET       0.880         1.03
GET       0.890         1.19
GET       0.900         1.38
GET       0.910         1.57
GET       0.920         1.73
GET       0.930         1.84
GET       0.940         2.01
GET       0.950         2.20
GET       0.960         2.48
GET       0.970         2.80
GET       0.980         3.09
GET       0.990         3.28
GET       1.000         4.86
GET       1.100         8.36
GET       1.200        12.60
GET       1.300        17.08
GET       1.400        21.98
GET       1.500        26.95
GET       1.600        31.60
GET       1.700        36.10
GET       1.800        40.29
GET       1.900        43.91
GET       2.000        48.01
GET       2.100        50.87
GET       2.200        53.40
GET       2.300        55.48
GET       2.400        57.26
GET       2.500        58.74
GET       2.600        60.30
GET       2.700        61.34
GET       2.800        62.50
GET       2.900        63.62
GET       3.000        64.82
GET       3.100        65.54
GET       3.200        66.16
GET       3.300        66.68
GET       3.400        67.10
GET       3.500        67.50
GET       3.600        67.84
GET       3.700        68.14
GET       3.800        68.45
GET       3.900        68.74
GET       4.000        69.08
GET       4.100        69.28
GET       4.200        69.46
GET       4.300        69.57
GET       4.400        69.69
GET       4.500        69.77
GET       4.600        69.93
GET       4.700        70.02
GET       4.800        70.13
GET       4.900        70.21
GET       5.000        70.35
GET       5.100        70.48
GET       5.200        70.54
GET       5.300        70.64
GET       5.400        70.75
GET       5.500        70.86
GET       5.600        70.92
GET       5.700        70.96
GET       5.800        71.05
GET       5.900        71.10
GET       6.000        71.24
GET       6.100        71.35
GET       6.200        71.40
GET       6.300        71.46
GET       6.400        71.51
GET       6.500        71.62
GET       6.600        71.68
GET       6.700        71.84
GET       6.800        71.97
GET       6.900        72.01
GET       7.000        72.18
GET       7.100        72.32
GET       7.200        72.50
GET       7.300        72.70
GET       7.400        73.10
GET       7.500        73.37
GET       7.600        73.71
GET       7.700        74.08
GET       7.800        74.61
GET       7.900        75.32
GET       8.000        76.40
GET       8.100        77.45
GET       8.200        78.62
GET       8.300        80.11
GET       8.400        81.44
GET       8.500        82.93
GET       8.600        84.29
GET       8.700        85.56
GET       8.800        86.85
GET       8.900        88.07
GET       9.000        89.43
GET       9.100        90.51
GET       9.200        91.47
GET       9.300        92.37
GET       9.400        93.12
GET       9.500        93.75
GET       9.600        94.35
GET       9.700        94.96
GET       9.800        95.42
GET       9.900        95.91
GET      10.000        97.61
GET      11.000        98.59
GET      12.000        98.94
GET      13.000        99.13
GET      14.000        99.27
GET      15.000        99.38
GET      16.000        99.48
GET      17.000        99.51
GET      18.000        99.56
GET      19.000        99.63
GET      20.000        99.66
GET      21.000        99.71
GET      22.000        99.73
GET      23.000        99.76
GET      24.000        99.76
GET      25.000        99.79
GET      26.000        99.79
GET      27.000        99.81
GET      28.000        99.85
GET      30.000        99.86
GET      32.000        99.86
GET      35.000        99.87
GET      38.000        99.89
GET      41.000        99.89
GET      42.000        99.90
GET      43.000        99.91
GET      44.000        99.92
GET      53.000        99.93
GET      66.000        99.94
GET      70.000        99.95
GET      74.000        99.96
GET      78.000        99.98
GET      79.000        99.99
GET     300.000       100.00
---
