1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         158.23          ---          ---      7.46700       164.47
Gets         158.23       157.09         1.13      5.15800       165.06
Waits          0.00          ---          ---      0.00000          ---
Totals       316.45       157.09         1.13      6.31200       329.53


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       4.900         0.01
SET       5.000         0.06
SET       5.100         0.25
SET       5.200         0.75
SET       5.300         1.98
SET       5.400         3.51
SET       5.500         6.01
SET       5.600         9.22
SET       5.700        12.83
SET       5.800        17.30
SET       5.900        21.81
SET       6.000        27.22
SET       6.100        32.77
SET       6.200        37.18
SET       6.300        41.81
SET       6.400        46.12
SET       6.500        50.43
SET       6.600        53.95
SET       6.700        57.67
SET       6.800        61.08
SET       6.900        64.21
SET       7.000        67.59
SET       7.100        70.15
SET       7.200        72.44
SET       7.300        74.55
SET       7.400        76.59
SET       7.500        78.21
SET       7.600        79.92
SET       7.700        81.27
SET       7.800        82.68
SET       7.900        83.86
SET       8.000        85.05
SET       8.100        86.04
SET       8.200        86.88
SET       8.300        87.60
SET       8.400        88.18
SET       8.500        88.94
SET       8.600        89.45
SET       8.700        89.87
SET       8.800        90.31
SET       8.900        90.85
SET       9.000        91.41
SET       9.100        91.83
SET       9.200        92.09
SET       9.300        92.55
SET       9.400        92.89
SET       9.500        93.13
SET       9.600        93.40
SET       9.700        93.70
SET       9.800        93.96
SET       9.900        94.20
SET      10.000        95.58
SET      11.000        97.24
SET      12.000        98.14
SET      13.000        98.77
SET      14.000        99.01
SET      15.000        99.24
SET      16.000        99.39
SET      17.000        99.45
SET      18.000        99.49
SET      19.000        99.50
SET      20.000        99.59
SET      22.000        99.62
SET      24.000        99.63
SET      26.000        99.66
SET      31.000        99.67
SET      34.000        99.69
SET      35.000        99.71
SET      37.000        99.73
SET      38.000        99.74
SET      39.000        99.77
SET      47.000        99.78
SET      49.000        99.79
SET      75.000        99.82
SET      77.000        99.83
SET      89.000        99.84
SET      95.000        99.85
SET     100.000        99.86
SET     130.000        99.87
SET     170.000        99.88
SET     180.000        99.91
SET     210.000        99.92
SET     220.000        99.94
SET     230.000        99.96
SET     490.000        99.97
SET     500.000        99.98
SET     540.000       100.00
---
GET       3.400         0.02
GET       3.500         0.20
GET       3.600         0.99
GET       3.700         2.20
GET       3.800         4.11
GET       3.900         6.83
GET       4.000        11.03
GET       4.100        15.31
GET       4.200        20.90
GET       4.300        26.61
GET       4.400        32.73
GET       4.500        38.46
GET       4.600        44.05
GET       4.700        49.44
GET       4.800        54.37
GET       4.900        59.04
GET       5.000        63.90
GET       5.100        67.39
GET       5.200        70.77
GET       5.300        73.83
GET       5.400        76.30
GET       5.500        78.53
GET       5.600        80.30
GET       5.700        81.83
GET       5.800        83.31
GET       5.900        84.86
GET       6.000        86.49
GET       6.100        87.79
GET       6.200        88.76
GET       6.300        89.49
GET       6.400        90.15
GET       6.500        90.79
GET       6.600        91.36
GET       6.700        91.94
GET       6.800        92.40
GET       6.900        92.82
GET       7.000        93.33
GET       7.100        93.76
GET       7.200        94.10
GET       7.300        94.35
GET       7.400        94.60
GET       7.500        94.86
GET       7.600        95.10
GET       7.700        95.35
GET       7.800        95.59
GET       7.900        95.79
GET       8.000        96.00
GET       8.100        96.18
GET       8.200        96.39
GET       8.300        96.56
GET       8.400        96.75
GET       8.500        96.97
GET       8.600        97.09
GET       8.700        97.26
GET       8.800        97.37
GET       8.900        97.52
GET       9.000        97.66
GET       9.100        97.75
GET       9.200        97.81
GET       9.300        97.87
GET       9.400        97.99
GET       9.500        98.06
GET       9.600        98.17
GET       9.700        98.23
GET       9.800        98.34
GET       9.900        98.45
GET      10.000        98.80
GET      11.000        99.18
GET      12.000        99.45
GET      13.000        99.62
GET      14.000        99.71
GET      15.000        99.76
GET      16.000        99.86
GET      17.000        99.87
GET      18.000        99.89
GET      21.000        99.92
GET      25.000        99.93
GET      30.000        99.94
GET      33.000        99.95
GET      36.000        99.96
GET      47.000        99.97
GET      74.000        99.98
GET      92.000        99.99
GET     230.000       100.00
---
