1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         144.49          ---          ---      7.44900       150.19
Gets         144.47       432.12         1.30      6.37700       451.17
Waits          0.00          ---          ---      0.00000          ---
Totals       288.96       432.12         1.30      6.91300       601.36


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.000         0.03
SET       5.100         0.23
SET       5.200         0.60
SET       5.300         1.43
SET       5.400         2.50
SET       5.500         4.37
SET       5.600         7.05
SET       5.700        10.48
SET       5.800        14.18
SET       5.900        18.36
SET       6.000        23.08
SET       6.100        27.66
SET       6.200        31.96
SET       6.300        36.10
SET       6.400        40.40
SET       6.500        44.43
SET       6.600        48.09
SET       6.700        52.13
SET       6.800        55.48
SET       6.900        58.71
SET       7.000        62.26
SET       7.100        65.02
SET       7.200        67.44
SET       7.300        69.77
SET       7.400        71.80
SET       7.500        73.90
SET       7.600        75.50
SET       7.700        77.07
SET       7.800        78.49
SET       7.900        80.17
SET       8.000        81.80
SET       8.100        82.78
SET       8.200        83.64
SET       8.300        84.48
SET       8.400        85.18
SET       8.500        85.99
SET       8.600        86.63
SET       8.700        87.32
SET       8.800        87.88
SET       8.900        88.44
SET       9.000        89.13
SET       9.100        89.77
SET       9.200        90.25
SET       9.300        90.63
SET       9.400        91.06
SET       9.500        91.44
SET       9.600        91.97
SET       9.700        92.43
SET       9.800        92.75
SET       9.900        93.10
SET      10.000        94.84
SET      11.000        96.82
SET      12.000        97.85
SET      13.000        98.50
SET      14.000        98.93
SET      15.000        99.10
SET      16.000        99.26
SET      17.000        99.43
SET      18.000        99.50
SET      19.000        99.53
SET      20.000        99.56
SET      21.000        99.58
SET      22.000        99.60
SET      23.000        99.64
SET      24.000        99.67
SET      25.000        99.68
SET      26.000        99.69
SET      27.000        99.72
SET      31.000        99.75
SET      32.000        99.77
SET      33.000        99.78
SET      34.000        99.79
SET      35.000        99.82
SET      37.000        99.83
SET      43.000        99.84
SET      57.000        99.85
SET      70.000        99.87
SET      73.000        99.88
SET      74.000        99.90
SET      91.000        99.91
SET      94.000        99.92
SET      96.000        99.93
SET     120.000        99.95
SET     130.000        99.97
SET     290.000        99.99
SET     680.000       100.00
---
GET       4.100         0.05
GET       4.200         0.25
GET       4.300         0.80
GET       4.400         2.06
GET       4.500         4.08
GET       4.600         6.97
GET       4.700         9.89
GET       4.800        13.37
GET       4.900        17.95
GET       5.000        22.91
GET       5.100        27.68
GET       5.200        32.01
GET       5.300        36.62
GET       5.400        40.80
GET       5.500        44.76
GET       5.600        48.79
GET       5.700        52.73
GET       5.800        56.02
GET       5.900        59.34
GET       6.000        63.17
GET       6.100        65.92
GET       6.200        68.24
GET       6.300        70.55
GET       6.400        72.40
GET       6.500        74.53
GET       6.600        76.41
GET       6.700        78.13
GET       6.800        79.52
GET       6.900        80.81
GET       7.000        82.39
GET       7.100        83.56
GET       7.200        84.58
GET       7.300        85.58
GET       7.400        86.30
GET       7.500        86.92
GET       7.600        87.65
GET       7.700        88.30
GET       7.800        89.03
GET       7.900        89.58
GET       8.000        90.22
GET       8.100        90.75
GET       8.200        91.19
GET       8.300        91.59
GET       8.400        91.96
GET       8.500        92.29
GET       8.600        92.70
GET       8.700        93.04
GET       8.800        93.40
GET       8.900        93.62
GET       9.000        94.12
GET       9.100        94.30
GET       9.200        94.50
GET       9.300        94.76
GET       9.400        95.01
GET       9.500        95.16
GET       9.600        95.37
GET       9.700        95.59
GET       9.800        95.81
GET       9.900        96.03
GET      10.000        96.93
GET      11.000        98.17
GET      12.000        98.80
GET      13.000        99.16
GET      14.000        99.32
GET      15.000        99.45
GET      16.000        99.56
GET      17.000        99.58
GET      18.000        99.62
GET      19.000        99.67
GET      20.000        99.70
GET      21.000        99.75
GET      22.000        99.76
GET      23.000        99.78
GET      24.000        99.79
GET      25.000        99.80
GET      26.000        99.82
GET      29.000        99.83
GET      30.000        99.84
GET      31.000        99.85
GET      32.000        99.86
GET      33.000        99.87
GET      35.000        99.88
GET      40.000        99.91
GET      55.000        99.92
GET      67.000        99.93
GET      73.000        99.94
GET      92.000        99.95
GET     130.000        99.97
GET     420.000        99.99
GET     680.000       100.00
---
